,Variable,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034,SS
0,GDP ($Y_t$),1.4271362161900492,0.6361472818489198,0.05887272496645667,-0.4194049912983319,-0.846629546132526,-1.193686957645776,-1.4805062196826095,-1.7294491128304994,-1.937067718745257,-2.1025787091813943,-0.7480711779850188,-3.5532639844255933
1,Consumption ($C_t$),9.581390008881757,5.136652795594592,4.2794161831432485,3.2774997780888735,2.0505431088033688,0.87482006394376,-0.19412766963775674,-1.1555685901750645,-2.0150846689525044,-2.781091241753174,1.9973874543196168,-12.126653428219358
2,Capital Stock ($K_t$),1.1008017264413303,-0.40296750131842557,-1.526827230431455,-2.50991986443877,-3.3937715171366136,-4.1506720359651395,-4.801152098047228,-5.374780807995149,-5.874475719020618,-6.304609609174881,-3.278427977699743,-11.683287752192895
3,Labor ($L_t$),2.249661853442362,2.764622204157235,3.2949702711824047,3.8553366618041958,4.370805061081569,4.875364885422759,5.358818071674249,5.810894563421369,6.243436308637494,6.664366512083972,4.570528153759117,13.819425613407887
4,Real interest rate ($r_t$),0.516164444899555,1.6676631649168057,2.569473513717287,3.4150588437192306,4.189864082727871,4.889773818516823,5.515748775070166,6.078851964149112,6.588006742138609,7.050563250415321,4.2807929855652835,14.681030400319983
5,Wage rate ($w_{t}$),-0.8043987943988636,-2.0711909643720388,-3.132863152258862,-4.116060328400319,-4.998958902854676,-5.786947121474858,-6.491496901570559,-7.126291940856739,-7.699828784250718,-8.219251067597451,-4.985837166329775,-15.263350081672943
