,Variable,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034,SS
0,GDP ($Y_t$),-8.11513603628205,-9.058456503055123,-9.737620633057702,-10.349311131875325,-10.884080292429072,-11.326248167104431,-11.691935880548735,-12.003893400067486,-12.261468242725975,-12.465549030101663,-10.776157433423045,-13.261191221594986
1,Consumption ($C_t$),4.810961370000225,-0.1999023865445329,-1.5300461780112575,-2.813942160295774,-4.431996788973374,-5.957896627953336,-7.330606626333594,-8.557699249365383,-9.650708397138082,-10.62211389766235,-4.510290201440415,-20.890850886892945
2,Capital Stock ($K_t$),-6.180486764701342,-8.083117658845463,-9.517201475587399,-10.791493569773996,-11.917252942417598,-12.875628625362957,-13.693602318732367,-14.404598107116614,-15.016629896847142,-15.5377455968004,-11.744268378144266,-20.501743725279965
3,Labor ($L_t$),-12.63079896795081,-12.001321023925163,-11.302094857104006,-10.649698939207926,-10.01356388619421,-9.388805627533827,-8.785288083600808,-8.211774395929769,-7.658397945872533,-7.117780275276927,-9.748953069711959,2.2563085706265715
4,Real interest rate ($r_t$),-3.298784198181353,-1.6964513095376672,-0.38886055963339866,0.7893461842398303,1.8639319483325514,2.8186954947205924,3.6674545054544296,4.425705995241195,5.105838319104754,5.718367035409553,1.945546076353999,14.525185223688908
5,Wage rate ($w_{t}$),5.168514607193459,3.3442351251375144,1.7638245153258076,0.3361749890622104,-0.9674170586444689,-2.13823703728784,-3.18665509018042,-4.131444507378451,-4.984904174682934,-5.757665685773121,-0.9684644643358162,-15.175074071193343
