,Variable,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034,SS
0,GDP ($Y_t$),-0.4640776284040915,-1.2661013013869042,-1.8498567814932372,-2.36691811774483,-2.8159562418057087,-3.183062480543128,-3.487696661945839,-3.75120441319312,-3.9710818831354238,-4.146637569948497,-2.7191021336850856,-5.481264816517358
1,Consumption ($C_t$),8.48222479215086,4.4754819116831435,3.2200972783585664,2.0869460640056534,0.7912275378116426,-0.457235163664421,-1.5845954309393766,-2.596090931944383,-3.5018144901176163,-4.309488521301045,0.759288696254758,-13.860997902840404
2,Capital Stock ($K_t$),-0.35711022089334354,-1.9139644239208802,-3.1042778226809244,-4.15472254382169,-5.083924422991816,-5.879577472731401,-6.563178127842015,-7.164359281115351,-7.687363137069996,-8.136940592235366,-4.956736066404285,-13.439258999923814
3,Labor ($L_t$),-0.729811029653103,-0.17099905681611677,0.4422174152796824,1.0062194044583543,1.5453562469322417,2.073061790678667,2.5778934317612943,3.051993747734251,3.5062781842049437,3.9487863972496546,1.74800518439973,11.527532244858888
4,Real interest rate ($r_t$),-0.17201751052315112,1.0556068684442854,2.0657731613379737,2.9707643647753077,3.797207663119553,4.541110916095774,5.205014188861508,5.801559212807651,6.340293115368952,6.829008330764144,3.878402821261176,14.661901800045731
5,Wage rate ($w_{t}$),0.26768398156982753,-1.097000756994673,-2.2820442508647227,-3.339619648684401,-4.295042471791723,-5.149489245769933,-5.913280178696769,-6.601847722189523,-7.224204922226431,-7.788043220086059,-4.278307706925733,-15.250733241045944
