,Variable,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034,SS
0,GDP ($Y_t$),-10.663737863253225,-11.614790297552592,-12.329720516723867,-12.972511315115964,-13.542135201164902,-14.020822447824777,-14.420053051889134,-14.763073278599768,-15.049346357619845,-15.280100132561808,-13.45156020721729,-16.154253857661917
1,Consumption ($C_t$),3.3287858636180454,-2.141380531968845,-3.1612312932118374,-4.523401117414745,-6.2406251302359035,-7.821194982773508,-9.242042378621,-10.525383497870699,-11.674686460497378,-12.700661687031593,-6.3488730942227765,-23.479894913699844
2,Capital Stock ($K_t$),-8.0913281798635,-10.073336851342809,-11.57650144019284,-12.927519413407163,-14.124347936368222,-15.14692745507694,-16.022835611120392,-16.78662025637831,-17.446354141504845,-18.01065412585196,-13.95956811231574,-23.156881458033094
3,Labor ($L_t$),-16.53590461632678,-15.841946863343527,-15.150454848705817,-14.475200552580493,-13.82559721040349,-13.194302985416073,-12.582692382514022,-12.00007372564434,-11.437299079839699,-10.887517577361367,-13.565542858384244,-1.1651110283048292
4,Real interest rate ($r_t$),-4.47721836658327,-2.74023822345406,-1.3594558746979857,-0.08246398016594438,1.0772125182944192,2.1033448282819713,3.0179182340329835,3.8370449330751693,4.572697604330178,5.235600453623208,1.1669292394324682,14.533278687953894
5,Wage rate ($w_{t}$),7.035633446571292,5.022954880087922,3.324475697908722,1.7570952896169203,0.3290042851873669,-0.9520948353518311,-2.1017838704834557,-3.1397425567044883,-4.078498477383167,-4.92924576972121,0.32187010383956416,-15.165812640936874
