,Variable,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034,SS
0,GDP ($Y_t$),-15.163272676542206,-16.095373414260695,-17.93160736047559,-18.84268912664777,-19.469031496376182,-19.945955004017794,-20.323109979495857,-20.640174387913344,-20.903900347807756,-21.118167566048836,-19.024889413015412,-22.808992604073588
1,Consumption ($C_t$),-2.5184860350465206,14.452585045856614,-2.496049578223569,-7.788695274822229,-10.90424952537691,-13.107659498140556,-14.823952681912548,-16.250259367587393,-17.46484876814377,-18.51533028892213,-8.684987148537608,-29.633769673082377
2,Capital Stock ($K_t$),-11.425558785393706,-13.367682495674108,-16.856579065230513,-18.717069055502115,-20.05940597417051,-21.109634815157765,-21.965966181449854,-22.692038363184736,-23.309660025982478,-23.83378220117595,-19.256945924111246,-29.28668902134916
3,Labor ($L_t$),-23.349930451923928,-22.69923101577254,-22.307872420128138,-21.628900952326145,-20.893140185606214,-20.1699934491143,-19.476512480824574,-18.827612789711797,-18.215445953691688,-17.631913755722103,-20.491702806756685,-8.955693553214864
4,Real interest rate ($r_t$),-6.750269119336459,-5.033324060317821,-2.063330814685728,-0.2461900958390319,1.1735581899353458,2.3379668943482095,3.329131497861263,4.188113605132327,4.940443263089723,5.605217764500987,0.8099529710733038,14.609218068508998
5,Wage rate ($w_{t}$),10.680549612546523,8.543053023079397,5.6328109383529235,3.5551237246070184,1.8001932799307452,0.280590315392036,-1.051435097974993,-2.233060371763471,-3.2873368260055615,-4.232641742338695,2.0888723176661905,-15.215968473573179
