,Variable,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034,SS
0,GDP ($Y_t$),-19.832516695678695,-21.123930684199408,-22.244977020161965,-23.35105765026472,-24.47062086065094,-25.620889597213985,-26.86051465661878,-28.295032070629844,-30.07553466766711,-32.51896137692,-25.40396819575344,25.66811458421572
1,Consumption ($C_t$),0.3737096190854436,-5.166086487632896,-6.395481692141519,-7.808236416792319,-9.463237053059661,-10.835892326514914,-11.839648382618147,-12.384142178062003,-12.252036346629781,-10.920823616119794,-8.575350279606207,14.311451582554263
2,Capital Stock ($K_t$),-14.827282429026148,-17.657696948663453,-20.017525915834604,-22.227469264623924,-24.32720799122376,-26.342779121038195,-28.36124444094379,-30.504110835734206,-32.931380147242805,-35.95343205043814,-25.189046842624148,15.359133934825273
3,Labor ($L_t$),-30.30188895018357,-29.51542178009319,-28.811556719970504,-28.209240943435198,-27.74524661213705,-27.44707327877083,-27.37509729831539,-27.637117928022224,-28.41137887925152,-30.0975931434126,-28.548792206189113,47.80922278545464
4,Real interest rate ($r_t$),-9.400284875805982,-6.729283019475128,-4.444158711488339,-2.3010986995847267,-0.3013940425299025,1.5531734025149033,3.3123561084634088,5.015590110924496,6.705782123991763,8.430096674958316,0.27325681987261996,14.25185016652281
5,Wage rate ($w_{t}$),15.021136155386602,11.905551275986689,9.22436116862316,6.767279439262628,4.532183133034547,2.5171546257867194,0.7086560714952912,-0.9090908828030458,-2.32452444893782,-3.4638534822705402,4.54594250578464,-14.97948783785703
