,Variable,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034,SS
0,GDP ($Y_t$),0.6209678400855373,-0.14817305232011307,-0.6985785327443647,-1.1644593411851836,-1.5676002019501967,-1.8824528945154733,-2.1302935050212435,-2.3343919264098907,-2.4919159671814306,-2.6023823400222823,-1.4301507792072832,-2.2000831240786805
1,Consumption ($C_t$),9.922340806513317,5.402536501044263,4.201319515909202,3.26731710650209,1.8824297630836817,0.6246550108090825,-0.497629995629628,-1.4985108220013639,-2.3837017659406587,-3.161517767982863,1.8744351192200772,-10.77110156099322
2,Capital Stock ($K_t$),0.4784935558388331,-1.0660425350976994,-2.2179074476816414,-3.218310084292554,-4.110064658920407,-4.857911990779705,-5.487731436656824,-6.031249000639458,-6.492583004173036,-6.876999340259713,-3.9429188741312626,-10.348412967075582
3,Labor ($L_t$),0.9778770089401743,1.6078298233183832,2.2541818138926013,2.879755651606319,3.48141547381029,4.071528266646694,4.642027310961677,5.182848528509524,5.705603146076601,6.218492735940581,3.727752113568893,15.249279216915559
4,Real interest rate ($r_t$),0.22654270522152478,1.4828494848615839,2.4793628800704344,3.3798182763406714,4.213534000430226,4.95703130575681,5.617510202612677,6.207975026682885,6.738227467958137,7.216563524820688,4.286812566442827,14.495003391453773
5,Wage rate ($w_{t}$),-0.35344797340732675,-1.7282284334876399,-2.887714087393289,-3.9310787341891467,-4.879233778077585,-5.721139711235479,-6.471995295353457,-7.146940150343741,-7.755162492750473,-8.304583617759247,-4.854850626839125,-15.140512386853938
