,Variable,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034,SS
0,GDP ($Y_t$),-8.226870228920857,-9.041117985925926,-9.58983693582546,-10.076086925034023,-10.491362714064591,-10.814623719067683,-11.062651637145834,-11.258183447606557,-11.400288780893375,-11.489683959575348,-10.335147402098455,-13.226891227447094
1,Consumption ($C_t$),5.058746850917134,0.04717322286583711,-1.2425714750009875,-2.470769751338151,-4.05434109582675,-5.533820656289428,-6.8572741938068535,-8.03134756069774,-9.06906197493296,-9.981987679186043,-4.098927507172291,-20.83126461348137
2,Capital Stock ($K_t$),-6.264581041521756,-7.9461950212243435,-9.159470530147557,-10.21935925214823,-11.138500275330568,-11.892281785200701,-12.508330242199747,-13.020010089365805,-13.4348665171887,-13.760520196478815,-10.888534542543583,-20.456648764296315
3,Labor ($L_t$),-12.802658878878919,-12.133611989285681,-11.395708356967047,-10.71375742078152,-10.05791179191992,-9.41682588331123,-8.800285363273007,-8.21670406019463,-7.655773791756179,-7.109948284263651,-9.802451849398471,2.255324486551414
4,Real interest rate ($r_t$),-3.3489070422798797,-1.9015882336037067,-0.7561222329066538,0.25408676643368566,1.1572620143113612,1.938657023573963,2.6129203263762153,3.1962712366746007,3.7016140992943516,4.139726651348163,1.1365165323038062,14.495307151593723
5,Wage rate ($w_{t}$),5.247648421220631,3.519556034917129,2.038126443980438,0.7141648622372482,-0.48195912143114233,-1.5431602681672558,-2.4807357433115786,-3.313836649440921,-4.055039950869178,-4.715065496193748,-0.4277613816122257,-15.140714262577587
