,Variable,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034,SS
0,GDP ($Y_t$),-36.23217327705298,-36.96817034524428,-37.71403629925969,-38.470263498407405,-39.25391872169437,-40.09693504101839,-41.02742555611268,-42.120368800520694,-43.501792563412764,-45.43092706502314,-40.043001569493974,-8.55619047856603e-07
1,Consumption ($C_t$),-17.79303840947057,-19.515419386488674,-20.966315427487142,-22.284065507041248,-23.371049419504903,-24.23123828629595,-24.81587119917892,-25.034782303058982,-24.70145443237909,-23.360831220760574,-22.52287367569222,-4.212549855029863e-06
2,Capital Stock ($K_t$),-29.232817730294798,-30.981914781341967,-32.59104781823536,-34.09037934881832,-35.515039328157236,-36.9203360894751,-38.37112477169773,-39.958062631577995,-41.82250510370944,-44.23760629883205,-36.21678704817418,-2.8387443372796846e-06
3,Labor ($L_t$),-50.77858001457381,-50.31773022350149,-49.947283863485055,-49.653221653561644,-49.45034993506747,-49.36415585126361,-49.43065809417645,-49.719923655632634,-50.35913935042316,-51.626851628874725,-50.065943256051426,1.1668644783508367e-06
4,Real interest rate ($r_t$),-15.426917270764584,-13.488941218859503,-11.779924476278698,-10.262699211300204,-8.918720088480708,-7.713169138984872,-6.575954031875796,-5.474868384255276,-4.373688547189635,-3.232706636034182,-8.610066730791624,3.119895690819695e-06
5,Wage rate ($w_{t}$),29.553110395556036,26.86998508267405,24.4408552557076,22.21198634316391,20.171232537731242,18.301802606818054,16.617338183300376,15.114525609464536,13.813984240193882,12.808659253267635,20.18828183622266,-3.3980336014148976e-06
