,Variable,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034,SS
0,GDP ($Y_t$),54.213299765084265,54.4931381613345,55.034216505382616,55.67321293628192,56.32112744948476,57.028373869420854,57.69377986562685,58.301956184240524,58.87189199272688,59.4169836502771,56.68827519906677,59.78927022718188
1,Consumption ($C_t$),37.077961434530174,32.89090214142412,34.06921169269687,34.73126888866546,34.73922124294683,34.76522434809834,34.84733350802324,34.95706492930906,35.099317858095134,35.27448212819436,34.83843900331319,34.191730710227745
2,Capital Stock ($K_t$),62.640456940359215,62.792198522902034,63.353402419979254,63.92043492149312,64.4292727153543,64.97640599004288,65.49993486741634,65.98027302107927,66.43409491331172,66.87294630638301,64.66189578541858,62.350349127700525
3,Labor ($L_t$),60.70757904206477,61.039762505607406,61.345707384301264,61.73263981482467,62.07039318569731,62.39572148618132,62.67366691274017,62.90097096655886,63.101782105823254,63.29292456039949,62.13911007425187,63.786022108912874
4,Real interest rate ($r_t$),-8.288110752044222,-8.149262463079781,-8.126513870183494,-8.012728119424795,-7.835918740322997,-7.635882211725026,-7.458369267245195,-7.299457691389417,-7.155592881847837,-7.024062200540397,-7.691719947846917,-2.515857313760907
5,Wage rate ($w_{t}$),-4.041072545597353,-4.0652245059583185,-3.9117698112246955,-3.7465525887226967,-3.5473684651834008,-3.305084899780543,-3.061257038601824,-2.8231826746299253,-2.593395366710988,-2.3736073022485304,-3.360803442867624,-2.440192735485866
