,Variable,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034,SS
0,GDP ($Y_t$),-0.11523980221906326,-0.08444089370414615,-0.04057698781144817,-0.052326898868310504,0.04513674115940594,0.14515705946401855,0.2506755140604304,0.36017639045034183,0.4725303062700021,0.586798230762655,0.15491770049248205,3.469103043339701
1,Consumption ($C_t$),0.2864428584068167,-0.3780088751458072,0.1497117707241532,0.3812899509637336,0.5518354767441058,0.7178599549114201,0.8881300008980232,1.065773515031791,1.2507662680943554,1.4420222264531297,0.6268124202829631,8.002182294774574
2,Capital Stock ($K_t$),-0.09145766188913405,-0.48421075032049465,-0.8186001205989877,-1.2103912241627797,-1.3894945673186294,-1.5406230613443346,-1.6598567726987292,-1.750814688019746,-1.8164821171970589,-1.8596641609013493,-1.2535591837756008,0.7240151617114665
3,Labor ($L_t$),-0.17759326172760936,-0.18459883846798492,-0.20309903139745789,-0.2553164097277888,-0.2803817185932608,-0.31346981631342297,-0.35208683666667523,-0.39536253945151856,-0.4424550763363953,-0.49239225297230177,-0.3108419718972799,-2.5363441726088167
4,Real interest rate ($r_t$),-0.03738678531722169,0.6325496005390193,1.2308008067529213,1.8330548672281608,2.2773035932540906,2.6827133919747097,3.0469161254965114,3.3726741647515537,3.662547678056302,3.9192342292963622,2.2658482842750627,4.373480226533612
5,Wage rate ($w_{t}$),0.06257848102325031,0.10049082532738655,0.16303742174697242,0.20372630584724838,0.32666885378078747,0.46031885105970793,0.605153544397805,0.7588082413817321,0.9193284722878223,1.0848113770993755,0.46181848362813405,6.161743511575522
