age,B1_ACCELERATED,B2_PRODUCTIVE_INVEST,B3_TRANSFER_CUT,B4_DELAYED_CONSOLIDATION
20,0.2881838616419774,1.7458426130556592,-2.6044822627649955,-0.6048761559428351
21,0.2786726946006013,1.7977444659680542,-2.574846517105034,-0.5968631613475384
22,0.26850941369509496,1.8346423682280788,-2.565434553654744,-0.5851236731306497
23,0.25940901290064655,1.8651871408042808,-2.5708107161180105,-0.5728677064627541
24,0.2506417709867703,1.8918581223144049,-2.576662244813588,-0.5615238340873296
25,0.24207858701719154,1.9162319074436551,-2.583098762882463,-0.550824958341789
26,0.23361559232177864,1.938966808653264,-2.588102146780724,-0.540675545621716
27,0.225281240742925,1.960473875719071,-2.589295545267023,-0.530221131916242
28,0.21702555803766455,1.9807821188152497,-2.598888913935704,-0.5193517043974305
29,0.20874851989372,2.0001937493384636,-2.6109679259266994,-0.5076196535067523
30,0.2001883229762802,2.018660585362997,-2.625929754826062,-0.4948515583438118
31,0.1913293102908442,2.036235256396912,-2.649477235404829,-0.4797821188227802
32,0.18211040516356025,2.052721325372131,-2.685745537952411,-0.4623534624632386
33,0.1723973286538838,2.068319262873941,-2.728762542937191,-0.44400548061067635
34,0.16209936854154616,2.0830617476808033,-2.77267118450778,-0.42392450553069283
35,0.1512025792387517,2.096996296981146,-2.8191956212593405,-0.4024272830034481
36,0.13935946158600832,2.1103785407753595,-2.861826713631832,-0.3798647747784156
37,0.12687959221229228,2.1222102346538207,-2.927525018001198,-0.3563924958232767
38,0.11431688920802152,2.1319560468930687,-3.0260532497964565,-0.33095040307101753
39,0.10157243078072753,2.1407165508119608,-3.131798794259699,-0.30269962761743097
40,0.08852427730061674,2.1486406585289775,-3.2271895725546007,-0.2716387592999525
41,0.07435159046551565,2.1563283281038625,-3.2708792821010135,-0.23726677566707766
42,0.058852470210002394,2.164173310354456,-3.2636192795954977,-0.1992419720749039
43,0.04272010967680817,2.170405968341904,-3.2566917808207196,-0.1585249619985185
44,0.026265364882371856,2.174259682162427,-3.2693449853914425,-0.1154980928329774
45,0.009540989254630539,2.175711170835415,-3.2987732550400772,-0.06985328550798142
46,-0.007518557203212151,2.174905412738437,-3.3375771191970327,-0.02188382841654679
47,-0.024928587394701385,2.17191829047918,-3.3818988538890205,0.0267959077586033
48,-0.04260173421545277,2.1665287551474455,-3.434004341513519,0.07609147860649923
49,-0.060404292760007916,2.1585548304728475,-3.497641929866302,0.12549375458814627
50,-0.07855612645808474,2.1484739351368853,-3.551258418907133,0.17581928380525635
51,-0.09723512488915009,2.1367321738160916,-2.4551027650852153,0.22712305806487088
52,-0.11572489960238741,2.1226520901367785,-2.4080659950776684,0.28015709983371107
53,1.4290705048394248,2.1057907375095164,-1.5607089337699942,0.33385852819602935
54,0.5199971931063807,0.41705305715773466,-3.274873463938799,0.5918419878236936
55,-0.17109820136571585,0.30129875269764295,-3.388422584824269,0.6556878542010036
56,-0.18777266392098202,0.17545208098892484,-5.652249164172107,0.7182806356574201
57,-0.1996167499830892,2.0029828176956865,-3.6831344505189323,0.5374657571683983
58,-0.21437587424119053,1.9684072538563635,-3.7370366133447908,0.5801010736536272
59,-0.22849124982696756,1.931127411867406,-3.783287608662367,0.6187081502270209
60,-0.2414841493193487,1.890678640146981,-3.833248096393882,0.6523038675453785
