ability_type,B1_ACCELERATED,B2_PRODUCTIVE_INVEST,B3_TRANSFER_CUT,B4_DELAYED_CONSOLIDATION
j1,0.2634800764867995,2.0136766399570627,-3.183773272806656,-0.5469748164054433
j2,0.28469544373728173,1.6829762431882722,-2.874924534733081,-0.6185782225667347
j3,0.3090366722964477,1.6135562938256909,-2.4293797300880438,-0.6341340230887282
j4,0.30176768210206095,1.5974534036582444,-2.0674884414086714,-0.6383886937218586
j5,0.30905043696254353,1.601140901026965,-1.778451621337418,-0.6394993663619508
j6,0.30380992421987774,1.608288376830913,-1.2323903453994145,-0.6180547427077632
j7,0.28196884521873855,1.9948114193278688,-0.7900671248323721,-0.649431626889696
