,Variable,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034,SS
0,GDP ($Y_t$),1.0397598144116649,0.9171110973607961,0.42699985500463267,0.19468124880104556,0.13890135225880157,0.09429599063254672,0.057120283560056696,0.025609285707909733,-0.0014597244645833034,-0.024707327595285253,0.2902627605181714,-0.32597753717682904
1,Consumption ($C_t$),-2.540839433060981,2.9675024813617266,-2.0365264492106774,-2.451620513223102,-2.6039820034173298,-2.690650639095234,-2.7512504880496538,-2.797127342353902,-2.8331049783026643,-2.8623943126467233,-2.0379276030965636,-2.9564555446633345
2,Capital Stock ($K_t$),0.825952870279901,0.5648927881299065,-0.2723181748317915,-0.6741503774233586,-0.775719381201546,-0.857922837227985,-0.9265378379143883,-0.9846569937814711,-1.03430905982441,-1.0767898866465984,-0.5143203369544143,-1.5658071664326496
3,Labor ($L_t$),1.6049841605804576,1.6240612473230824,1.4681357266423112,1.4035161694340577,1.3952376402164832,1.3907268569976836,1.3878512595266004,1.3860690670720357,1.3848307176836538,1.384188035099044,1.4421540121014955,1.3795354002446916
4,Real interest rate ($r_t$),0.3349836096546806,0.5522080323177664,1.1031071149696914,1.373304750275935,1.4485186361877285,1.510679182837098,1.5629893419021137,1.6075134371937967,1.6455264557271956,1.678097723193464,1.282494327746292,2.027996092650359
5,Wage rate ($w_{t}$),-0.5562251416988282,-0.6955688417469194,-1.0259707789550505,-1.1919899148692628,-1.2389330548848756,-1.2785326120638625,-1.3124005996462982,-1.3417482113265404,-1.3672454096604412,-1.3895540245766629,-1.1343758307048712,-1.6823061767514171
