,Variable,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034,SS
0,GDP ($Y_t$),0.231142132171837,0.29077657794628436,0.3669540452665931,0.4656325257007518,-0.5787049259416363,-1.6476234480000975,-2.762970526987154,-3.9419017435976618,-5.208639212676464,-4.6313783103956885,-1.7263841914712295,-3.5643403457823945e-09
1,Consumption ($C_t$),-0.48644391505705514,-0.5205447518800759,-0.580729155261209,-0.6658575381492893,-0.7274641060736892,-0.7575424761683579,-0.7456922131561682,-0.6787381431940644,-0.5373723141224179,-0.41074352261487496,-0.6105713806701745,-5.649584734147328e-09
2,Capital Stock ($K_t$),0.18351734616843612,0.2655811637486291,0.3660566735127531,0.49185004264023735,-1.296690332612597,-3.0907372005593596,-4.9215274441255525,-6.810747420440586,-8.788493289935762,-7.755310085191964,-3.110139173153086,-5.863316011609503e-09
3,Labor ($L_t$),0.35635553562643413,0.39791082306126613,0.45706507221371007,0.5398364478225572,0.2316709604871453,-0.10104239073498024,-0.4726016656642305,-0.897229206144746,-1.3953031822973947,-1.2528724124407187,-0.22128618619264467,1.511979821207784e-09
4,Real interest rate ($r_t$),0.07504995006507911,0.039537725525135646,0.00138212826292934,-0.04081687436601684,1.1387199328201385,2.3334742311349435,3.5609015022495125,4.832848382582909,6.166474036465037,5.32498569524427,2.3430747487681836,3.413892451363862e-09
5,Wage rate ($w_{t}$),-0.12479280483538965,-0.10673434510652445,-0.0897260585342074,-0.07383038251193884,-0.8085443876484766,-1.5482078687101992,-2.301332769798051,-3.0723565403073456,-3.8674521538137783,-3.4215176507689606,-1.514772867543473,-4.7803557521295795e-09
