,Variable,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2025-2050,SS
0,GDP ($Y_t$),-4.5231091272326545,-4.426405742590195,-4.531549686862194,-4.583368150814607,-4.584669913957374,-4.557359845783836,-4.50111418396983,-4.412032321688362,-4.29293670989155,-4.147078938275952,-3.9727581443697653,-3.775367955891308,-3.576783681079513,-3.4038837158261464,-3.2799355564185215,-3.2141557357008117,-3.1920063191407952,-3.2129253704679077,-3.2063066365799022,-3.1392062389384066,-3.0672977242168376,-3.120255055069641,-3.152884801309687,-3.1690089314011267,-3.1814281814776266,-3.1912130041800517,-3.759142753805104,-2.5028111516611906
1,Consumption ($C_t$),-1.4125073568939976,0.06115401100763575,-2.5129956727079157,-4.244439194054653,-5.203001125108193,-5.931957488257905,-6.505327580015072,-6.9538518152657725,-7.2979122098591045,-7.554535448066465,-7.731869110052654,-7.842943744519255,-7.916102872081919,-7.981171539281025,-8.06099580313286,-8.163312300400897,-8.275537312324724,-8.399251691331898,-8.470933668139748,-8.468147040849665,-8.44497032371656,-8.397048385669372,-8.322406102363072,-8.22415092752085,-8.114186723169137,-7.99409931197718,-6.845703266615686,-3.372281513586068
2,Capital Stock ($K_t$),-4.850110286766111,-5.158060149756565,-5.698761097495897,-6.077056019283818,-6.326683224790161,-6.5028169007627605,-6.610857543583883,-6.652681369529286,-6.635112152482504,-6.56472544770077,-6.442189430779778,-6.275126302677061,-6.088443892047464,-5.9119465521073264,-5.771298082830259,-5.677619712447333,-5.617766327073244,-5.59311626400965,-5.531524079570074,-5.39955193449591,-5.254594443714396,-5.309325209598727,-5.331279979155175,-5.32622347527638,-5.309484669509168,-5.283319661982038,-5.823013688239193,-3.1170822697894804
3,Labor ($L_t$),-4.078073061221006,-3.05915627746911,-2.254343451568894,-1.5427301803687465,-0.9032941652191073,-0.3264218615961556,0.20018892668008836,0.6881285397705703,1.1402260344132793,1.5586556019994955,1.9489775390787258,2.31037194604473,2.629185013369339,2.8868743986752685,3.0666435512279193,3.163547601768986,3.1940683262657448,3.1630442669028667,3.1328454240048855,3.133901735503755,3.1179332744105253,3.037272646874809,2.952815026243156,2.863675889882931,2.7621478122771403,2.6497244771817883,1.4332357479835443,-0.28049563709012704
4,Real interest rate ($r_t$),0.550922961692567,1.2388898258393553,1.9898014136079945,2.5569072976945213,2.987944867723785,3.3386190244538585,3.6197621495472023,3.8407785744735987,4.00849915990622,4.128813891999307,4.205879378469754,4.244035717002252,4.249846518407374,4.22990407778484,4.1896243565389915,4.132824184295122,4.061308715651221,3.9783934663340776,3.878507950203052,3.7597086420780865,3.6274491360104424,3.638427943594639,3.6268553544266946,3.596226123825564,3.5513406964955094,3.494287952316292,3.4992532353678545,1.0150393834663882
5,Wage rate ($w_{t}$),-0.46387275149372065,-1.410293829942243,-2.329620985129783,-3.0881660934418367,-3.7148057700044332,-4.244656273528471,-4.691762052066868,-5.065146615289126,-5.371743309810811,-5.617991404218368,-5.808347296148556,-5.94812593607546,-6.046794191637024,-6.114059339763895,-6.157557479549283,-6.181948308004675,-6.188239939262518,-6.180316495374825,-6.146440744480593,-6.08235758070128,-5.998100360945138,-5.975936616000517,-5.930523888406573,-5.864705949978297,-5.7838105815221486,-5.690178978546625,-5.056351659783667,-2.228602590349535
