,Variable,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034,SS
0,GDP ($Y_t$),1.6364445029826293,1.7070371407863332,1.7664534616217573,1.8225478828481065,1.8711406117586826,1.913283895765877,1.948022753573095,1.9764861887804956,1.9989403571992124,2.0157070793326097,1.8639067703042533,0.32070706419787964
1,Consumption ($C_t$),4.208464975383846,3.9939265987704706,3.786727048220272,3.616986533101797,3.4769592094651824,3.34760870354899,3.2287120662035833,3.1222042190496917,3.0248773744476525,2.936755304510409,3.48451550234666,1.6061288739696644
2,Capital Stock ($K_t$),1.445582810169988,1.3858310392652176,1.3303448222387815,1.2845221703844638,1.2417628456202958,1.200809458593089,1.1608657902032944,1.1219926886829792,1.0833708819398546,1.0444662972692647,1.2323106514314972,-1.344569067985682
3,Labor ($L_t$),2.329521487085052,2.576219699609703,2.7843400834386234,2.9674843017854116,3.124062058607791,3.259266463693701,3.3748531187013446,3.47386254153413,3.5582268030741333,3.629615356957758,3.1133154048998546,2.480791592085787
4,Real interest rate ($r_t$),0.28458789306623444,0.4795061930929729,0.6513356514126769,0.8035259332432074,0.9394442280846814,1.0623472624071646,1.1725600538498173,1.2717144020475215,1.3614737036574647,1.443148990620461,0.9497438872501015,2.564874829496165
5,Wage rate ($w_{t}$),-0.6772098998570639,-0.8472494588493652,-0.990188220211626,-1.1118067279402533,-1.2148285491806134,-1.3033599358067924,-1.380110677566588,-1.4469685087215265,-1.5055743896202975,-1.5572485559182205,-1.1958366937988334,-2.107790000065057
