,Variable,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034,SS
0,GDP ($Y_t$),0.4726448270915741,4.320707912123325,8.187672313794781,12.08256189630821,16.008120107076547,19.963923134954154,20.217360859766558,20.441840793100877,20.64059382609052,20.81580446120395,14.216556137640508,19.597633522761278
1,Consumption ($C_t$),-0.8675350521984152,3.2662393514962593,7.341337398337493,11.309059222377176,15.208225092952452,19.073677038491322,19.17598979088341,19.289860321735517,19.410863402718988,19.536071069045853,13.094594643516878,22.64442621837035
2,Capital Stock ($K_t$),0.4170998413700753,3.9050684476028037,7.416686002987719,10.952745272064936,14.509622920901698,18.080923316258122,18.16555062051198,18.237606231853672,18.29802858067907,18.347169770741946,12.717632157090161,15.416283006155288
3,Labor ($L_t$),0.6721462346505387,6.047991844009077,11.436498701167993,16.834212562175395,22.22882441762928,27.607443554230027,27.719758865412842,27.800433249284218,27.85650695971492,27.89270056244041,19.733029252844,25.136528717720747
4,Real interest rate ($r_t$),0.08368616295443065,0.605483805201107,1.0864096948443303,1.540588890985989,1.9779202965637164,2.406703864513647,2.6169416761020794,2.8059638412741497,2.9768594517504465,3.1321026090591433,1.9306098207269564,5.504846507081969
5,Wage rate ($w_{t}$),-0.1980982592993567,-1.6286949441348084,-2.9153080660616446,-4.066895782082575,-5.089278824796667,-5.989751522934412,-5.8739824066093425,-5.75774364480714,-5.643618488595161,-5.533316958959147,-4.220673130292534,-4.426237224446381
