,Variable,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034,SS
0,GDP ($Y_t$),-1.1368075090358067,-1.8130487259710188,-3.762125078401731,-4.640157917982434,-5.2017510798872655,-5.638779982263502,-6.000098656306393,-6.314664973381399,-6.596189603369932,-6.852314929287122,-4.769807963885069,-11.042708139696373
1,Consumption ($C_t$),23.297278919441823,49.076230176025085,25.38262749183667,17.783063796103278,13.709554125274748,10.866684371606796,8.66054639171198,6.837395755483998,5.283044918910382,3.928950125940055,16.753695817595503,-11.118665863451339
2,Capital Stock ($K_t$),14.173551776585402,11.867615240754928,7.248398248643784,4.808772868394233,3.0798885454671003,1.707302981734513,0.5632368546709132,-0.41772621964771284,-1.2723576320175334,-2.0253158532548614,4.070135409595534,-11.100916749957019
3,Labor ($L_t$),-22.091427533099388,-21.180346247466208,-20.629997665165504,-19.832517612464148,-19.008175128789414,-18.238044265160656,-17.5332183733931,-16.89673933141173,-16.325338321273616,-15.8133430740945,-18.727094939536727,-10.963747988382195
4,Real interest rate ($r_t$),-20.283611254041798,-18.51067632721305,-15.540742659375582,-13.64072115605946,-12.144182139286407,-10.901400279414766,-9.836954430724438,-8.91358631779343,-8.106953957954303,-7.398233020785443,-12.497419115488867,0.09948832036492425
5,Wage rate ($w_{t}$),26.896410664209743,24.57164380885738,21.252186221717505,18.950756407600355,17.046664438772687,15.409661056950155,13.985134540518471,12.733602504028262,11.627302862261809,10.644178679126668,17.455296180100326,-0.08868174219922381
