,Variable,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034,SS
0,GDP ($Y_t$),2.649822250372446,2.2239450226565123,0.5876445228327232,-0.26536639239076426,-0.8823259016903309,-1.3828537237895675,-1.8056793395273705,-2.171688686347299,-2.4930292525702553,-2.778156919264552,-0.6067611681989228,-5.943847871214639
1,Consumption ($C_t$),26.197174040104933,47.28793469556572,28.181859428398106,21.65916620915145,17.8483827566941,15.078615635686333,12.854624457169367,10.992319001507399,9.392212667914569,7.995189873834478,19.99135963397835,-5.89434892878679
2,Capital Stock ($K_t$),17.270619610066205,15.269464551030126,11.266479495592966,8.957106180335854,7.226146699599964,5.8215848842319495,4.6368877083054025,3.6194084396839097,2.736046026970647,1.9628082621690603,7.969209050428508,-5.963558869052382
3,Labor ($L_t$),-17.100578157818614,-15.934597172631996,-15.306340659432427,-14.598130931274234,-13.916686212438591,-13.284026703329657,-12.704489156947654,-12.175267611709494,-11.692703104460877,-11.253220021376015,-13.771762547131466,-5.917123967050928
4,Real interest rate ($r_t$),-18.858429397739453,-17.130323981825217,-14.528367923781497,-12.807058003495236,-11.430665058501287,-10.275746136263091,-9.280253380494026,-8.412779997477994,-7.6522225173744935,-6.982398095299704,-11.707925708274585,0.03184550362649677
5,Wage rate ($w_{t}$),23.824651677621794,21.600627437223825,18.766596398349915,16.782891423413933,15.141728811559595,13.72447910695332,12.48512322165958,11.390549599895019,10.417952399512483,9.549865474316913,15.49356788359632,-0.02840234449807011
