,Variable,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034,SS
0,GDP ($Y_t$),7.076631544452862,6.421698820088206,5.84659082817373,5.339561414861065,4.9041542174292285,4.521431826736167,4.182647100618661,3.880580183597995,3.6095739331186047,3.3651377027656504,4.931053507951985,-0.03952806913569796
1,Consumption ($C_t$),32.56776400187834,29.991142772811163,26.62483402768198,24.137400340895113,21.969846775844616,19.98912829339202,18.21993664682287,16.650597366824467,15.250876556755925,13.996287891057923,22.091386546335563,-0.07526788186656434
2,Capital Stock ($K_t$),20.934514574820774,18.69153133709681,16.715611430174615,15.028259681710487,13.578837637114392,12.322776244366144,11.223914584196695,10.25752801089555,9.40371073609203,8.646102387970705,13.753263926911352,-0.05669364098517001
3,Labor ($L_t$),-11.196300667264506,-10.27223275114083,-9.386534291404011,-8.601655793358685,-7.869359349950714,-7.195943186599842,-6.583979898383581,-6.028378604646521,-5.524308338519629,-5.067072418171543,-7.745920517638165,0.0009645303146866438
4,Real interest rate ($r_t$),-17.333040661213772,-15.647361370122884,-14.096702185494603,-12.744232425952152,-11.544684086053019,-10.482863088979515,-9.541740174022895,-8.70587127253193,-7.962122708676916,-7.299016119950973,-11.511729462650422,0.026094182350934324
5,Wage rate ($w_{t}$),20.576804734501806,18.605114644878324,16.811112864993525,15.253243690135863,13.864553008927752,12.625911539221029,11.525439058061206,10.544604020919738,9.66794347393664,8.882252436645125,13.937768861991051,-0.04049090275015901
