,Variable,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034,SS
0,GDP ($Y_t$),15.166013924861577,14.945404333474361,14.62259224079087,14.45692009654296,14.348011055246356,14.26584758422761,14.198192357054735,14.138182900029978,14.081532997161988,14.02647390118216,14.429865199931907,10.090339834790935
1,Consumption ($C_t$),36.63197764089429,37.08530341165746,32.59356190740667,30.021006823873947,28.126878549562452,26.520335703868575,25.14079902996279,23.939313032970315,22.88266074371537,21.947423313740128,28.619362271229427,9.787195735321493
2,Capital Stock ($K_t$),27.73834320992864,26.136204580167426,24.48722684343251,23.251984773032493,22.243437121556678,21.39165057659768,20.658299981422363,20.01880679269219,19.455696725006955,18.956273875654162,22.48579034785247,10.462634260910464
3,Labor ($L_t$),-0.2320965494356455,0.9964814717437274,2.080118602478226,3.1052943600445455,4.0322560801046565,4.860632043982567,5.596366789151648,6.247416739544772,6.820931254010332,7.3254532624574695,4.116139791106101,9.587709358694948
4,Real interest rate ($r_t$),-14.887391886209093,-13.42888861303186,-11.995278867518888,-10.79685485406757,-9.762835679203107,-8.859798029677284,-8.0697148935411,-7.375346633108768,-6.763581258255471,-6.223107547528615,-9.795663642776672,-0.5121267614650101
5,Wage rate ($w_{t}$),15.433927490705404,13.811292918701987,12.286897022675232,11.009744827850815,9.91592025904668,8.969249364411656,8.145939606443358,7.426769668697139,6.796963827409986,6.243618787826468,10.084258689880953,0.4586578919841999
