,Variable,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034,SS
0,GDP ($Y_t$),6.9464237990202005,6.441988715959308,6.019890054736606,5.660599863979099,5.36644766106793,5.1244932599226045,4.925053798241917,4.760900751217108,4.6265323359246855,4.51748887737871,5.44970015960156,2.9942892494141215e-07
1,Consumption ($C_t$),32.88116983966399,30.312962506324254,26.994504522517776,24.57574028042621,22.45183452780598,20.53021047196493,18.82377496008951,17.32205071395267,15.992833231965959,14.81273159844754,22.617347320774837,-2.979193215106256e-06
2,Capital Stock ($K_t$),20.826116010437996,18.868338438469614,17.177055889291783,15.765987702212087,14.583005032991874,13.59052997797074,12.751386518388092,12.041049657791431,11.440000695304594,10.932195911926263,14.85622364480651,-1.334612276963699e-06
3,Labor ($L_t$),-11.370982313395297,-10.407123105031514,-9.482169511266706,-8.667182591575452,-7.914763981386839,-7.224641554688922,-6.599339111276911,-6.033425532407191,-5.521623538065079,-5.059067507889591,-7.800606649725044,2.150994815931495e-06
4,Real interest rate ($r_t$),-17.375889172276228,-15.823385949661445,-14.413423679418816,-13.207619411978817,-12.158333206650857,-11.249051805239226,-10.461906751098553,-9.78070408348479,-9.191757698505278,-8.683274323128225,-12.213963428938696,-1.2729634817384843e-06
5,Wage rate ($w_{t}$),20.667532482036222,18.80632525501905,17.125974395598988,15.68742965516986,14.422717295707638,13.31076598623888,12.338632375288922,11.487375469135133,10.741207635277107,10.086813612451422,14.559858608747934,-5.685199916595148e-07
