,Variable,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034,SS
0,GDP ($Y_t$),24.7831632544295,24.370639182843465,23.957690357518114,23.614025473613736,23.29437616497623,22.99826829085653,22.711355180072832,22.429732022308222,22.150890471807244,21.872639500994744,23.2307888536763,20.469232572260385
1,Consumption ($C_t$),42.34575690846705,40.677561331451564,38.071592679084205,36.44324100376194,34.846192052179376,33.438530568373785,32.18365791454023,31.06022490635319,30.04550602587922,29.124098285376743,34.93179636220612,20.28093153616198
2,Capital Stock ($K_t$),35.98746073264615,34.18594342278604,32.51152470275276,31.065571765311606,29.75712728273898,28.576435712730753,27.49537140621462,26.496629863606465,25.567028638379973,24.69545661646048,29.70105343367422,20.50998946317919
3,Labor ($L_t$),13.061155406431691,14.02768254963927,14.870573037103455,15.635314117406624,16.31464250523428,16.91697737728541,17.446745352625264,17.911325879375692,18.317396941549806,18.670537952983636,16.341474367851617,20.41400991463854
4,Real interest rate ($r_t$),-12.462703296861156,-11.07178362463467,-9.771508747912447,-8.602200296622236,-7.528559302611712,-6.548010620729238,-5.655557187508789,-4.839448234023398,-4.090138550885438,-3.3994307931500782,-7.374847605966414,-0.05139382966086775
5,Wage rate ($w_{t}$),10.367876628368487,9.070591958893981,7.910768012337266,6.899915269463315,6.00076088301811,5.201404228241745,4.482583019865657,3.832073703841093,3.2400487434782734,2.6983569810275916,6.037106643830305,0.045862601092710106
