,Variable,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034,SS
0,GDP ($Y_t$),20.221410951125254,20.235066674390225,20.316881756511805,20.454546188602524,20.62954829813565,20.83733749148418,21.043017349834642,21.243030437977296,21.434306919178137,21.614973338102356,20.79675890799019,20.948602001954857
1,Consumption ($C_t$),41.06759169665875,38.58451989687552,34.9616818111119,32.52607360862772,30.278859868760065,28.339720813106396,26.666031452168916,25.21441187551186,23.949683893865867,22.845671514945597,30.59341322405333,11.731297214829914
2,Capital Stock ($K_t$),45.06183693141811,43.77271927701163,42.73006392776804,41.9543582822699,41.365120538791686,40.94008811095768,40.60699936575476,40.34653849575698,40.14243481237138,39.98209271887979,41.7194961403083,33.90864555626833
3,Labor ($L_t$),-6.037195156770201,-4.903327344521099,-3.8328124880816756,-2.8782953947248755,-2.011635580768407,-1.2261285542636733,-0.5264374866436977,0.09608441674795828,0.6489934318304368,1.1394550129483654,-1.9219400685770807,5.36072027677082
4,Real interest rate ($r_t$),-25.901987692085537,-24.78038403509416,-23.770790499555783,-22.916002901586527,-22.17176123713059,-21.52782667012264,-20.971353753889694,-20.48898837991885,-20.069405568840903,-19.70314784080204,-22.21554652776218,-14.706200452488124
5,Wage rate ($w_{t}$),27.945888307488136,26.43470550624989,25.11231139068305,24.0244330962168,23.106084606828848,22.3374377552248,21.68368878807492,21.126727437628798,20.65136710594373,20.244915622859565,23.333621916951806,14.794780137098428
