,Variable,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034,SS
0,GDP ($Y_t$),18.196573676361176,17.76652720659789,17.334493443750784,17.00720135098905,16.71989134379911,16.464873756208895,16.229720981796348,16.009699014669675,15.801557523222662,15.602260828150364,16.724511682167613,11.14818596296596
1,Consumption ($C_t$),38.601532318863356,36.94208694205719,34.09535857571917,31.918102463886733,30.243268543423206,28.70705027024284,27.32406541499187,26.0933055674473,24.990989756526456,23.99705558677043,30.411983497195017,10.99500771971092
2,Capital Stock ($K_t$),30.32018562330653,28.608847502286043,27.022558505067266,25.70678181900923,24.569492961159643,23.57119423889795,22.68370378131173,21.889056244586,21.172902637538897,20.522937134588815,24.66492892291477,11.02965828962929
3,Labor ($L_t$),3.9284796112092852,4.783846869548302,5.525775737984096,6.235857016910294,6.857761577287262,7.413431514267166,7.901469621333879,8.327852052699221,8.698808624387663,9.0193646498091,6.891367401655255,11.309047849755075
4,Real interest rate ($r_t$),-14.07175587030222,-12.760670743452462,-11.545474939570154,-10.471089656348642,-9.524920487621584,-8.679718233147014,-7.928953556724714,-7.26060911746781,-6.664234431242684,-6.130856761124063,-9.4847457617732,0.16220908393452577
5,Wage rate ($w_{t}$),13.72879689099628,12.389990681559029,11.19037741674283,10.139090573722207,9.22921283710147,8.426730094569464,7.718381938239083,7.091290033494474,6.534334061328488,6.038276182359039,9.315700953254872,-0.14451724378122058
