,Variable,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2025-2034,SS
0,GDP ($Y_t$),7.2272600347479825,6.389910301581185,5.636152438024276,4.945347390191298,4.320815954359834,3.7492116226939007,3.222353045748558,2.733434483196564,2.2768181982588733,1.8477044174428654,4.258352369126317,2.992670358950431e-07
1,Consumption ($C_t$),32.02572364913575,29.42852320345864,26.064837933770818,23.56492962263697,21.341758153944344,19.30125138945023,17.458245330997325,15.80485031437914,14.312269497834404,12.959119784942825,21.38146279772172,-2.9795337177451106e-06
2,Capital Stock ($K_t$),21.059959821816417,18.456611041660143,16.12970017373127,14.091067429397203,12.289022823912363,10.684538896488133,9.241384268834206,7.9352754266323045,6.746125461793487,5.65707793866283,12.320739315908764,-1.3348972015284037e-06
3,Labor ($L_t$),-10.994148707326183,-10.102747935497634,-9.241296999888103,-8.48302978465352,-7.779575687886975,-7.13097505158183,-6.539793251461555,-6.001222673308222,-5.510867413209261,-5.064810725676793,-7.659079252005567,2.151106690389801e-06
4,Real interest rate ($r_t$),-17.283620159646514,-15.418839757651323,-13.678404700794832,-12.12884721686164,-10.726295308041644,-9.457124196605134,-8.30453591597721,-7.254419540963097,-6.294512291324901,-5.41405422217849,-10.567290300880897,-1.272792861470406e-06
5,Wage rate ($w_{t}$),20.472195771509973,18.346158121767193,16.392331751439485,14.673108216066208,13.121163353029209,11.71562217155652,10.445238791458248,9.292303714032712,8.241879576259361,7.281294859132874,13.113178237089967,-5.68775128576607e-07
